NAME,ID,GENRE_NAME,VALUE
top_genres_for_tracks_released_in_2022,G2.7,Bollywood,1261.0
top_genres_for_tracks_released_in_2023,G2.6,Indian Folk,77.0
top_genres_for_tracks_released_in_2022,G2.7,Ambient,47142.0
top_genres_for_artists_created_in_2023,G2.2,East Coast Rap,35.0
top_genres_for_artists_created_in_2023,G2.2,Arabic,151.0
top_genres_for_tracks_all_time,G2.5,Blues,750225.0
top_genres_for_tracks_released_in_2023,G2.6,New Wave,1661.0
top_genres_for_artists_created_in_2023,G2.2,Alternative Rock,5032.0
top_genres_for_tracks_released_in_2023,G2.6,Big Band,2410.0
top_genres_for_artists_created_in_2023,G2.2,Afrobeat,6548.0
top_genres_for_artists_created_in_2023,G2.2,African,87.0
top_genres_for_tracks_released_in_2022,G2.7,Arabic Pop,1555.0
top_genres_for_tracks_released_in_2023,G2.6,Pop,436703.0
top_genres_for_artists_created_in_2023,G2.2,Christian,10145.0
top_genres_for_artists_created_in_2023,G2.2,Big Band,258.0
top_genres_for_artists_created_in_2023,G2.2,Hip-Hop/Rap,118292.0
top_genres_for_tracks_released_in_2023,G2.6,Latin Classical,109.0
top_genres_for_artists_created_in_2023,G2.2,Reggae,6099.0
top_genres_for_tracks_released_in_2022,G2.7,Latin Classical,302.0
top_genres_for_artists_all_time,G2.1,Instrumental,68044.0
top_genres_for_tracks_released_in_2022,G2.7,Psychedelic,2120.0
top_genres_for_tracks_all_time,G2.5,African,447807.0
top_genres_for_tracks_released_in_2023,G2.6,Trance,22519.0
top_genres_for_tracks_released_in_2023,G2.6,Dancehall,12019.0
top_genres_for_tracks_all_time,G2.5,Holiday,525069.0
top_genres_for_artists_created_in_2023,G2.2,Celtic,45.0
top_genres_for_tracks_released_in_2023,G2.6,Doo Wop,7.0
top_genres_for_tracks_released_in_2023,G2.6,Funk,17102.0
top_genres_for_tracks_released_in_2022,G2.7,Salsa,989.0
top_genres_for_tracks_released_in_2023,G2.6,Salsa,848.0
top_genres_for_artists_created_in_2023,G2.2,Worldbeat,134.0
top_genres_for_tracks_released_in_2023,G2.6,Alternative,296023.0
top_genres_for_tracks_released_in_2022,G2.7,Gangsta Rap,3601.0
top_genres_for_tracks_released_in_2023,G2.6,Gospel,7007.0
top_genres_for_artists_created_in_2023,G2.2,Jazz,6430.0
top_genres_for_tracks_all_time,G2.5,House,1614343.0
top_genres_for_tracks_released_in_2023,G2.6,Blues,25436.0
top_genres_for_artists_created_in_2023,G2.2,Dirty South,73.0
