CREATION_DATE,DAILY_TRACK_COUNT
2023-01-01,58061
2022-12-31,55983
2022-12-30,59877
2022-12-29,52194
2022-12-28,52581
2022-12-27,51811
2022-12-26,53854
2022-12-25,51876
2022-12-24,55233
2022-12-23,53854
2022-12-22,44911
2022-12-21,53163
2022-12-20,48411
2022-12-19,47913
2022-12-18,62424
2022-12-17,67035
2022-12-16,69348
2022-12-15,52592
2022-12-14,52838
2022-12-13,56065
2022-12-12,61684
2022-12-11,49783
2022-12-10,64949
2022-12-09,46803
2022-12-08,46056
2022-12-07,50688
2022-12-06,43561
2022-12-05,58584
2022-12-04,56913
2022-12-03,68149
2022-12-02,57994
2022-12-01,46777
2022-11-30,47359
2022-11-29,66624
2022-11-28,62251
2022-11-27,54374
2022-11-26,75629
2022-11-25,91492
2022-11-24,75573
2022-11-23,72776
2022-11-22,59045
2022-11-21,48777
2022-11-20,55257
2022-11-19,65491
2022-11-18,64752
2022-11-17,53626
2022-11-16,44671
2022-11-15,44610
2022-11-14,46782
2022-11-13,52045
2022-11-12,56379
2022-11-11,60246
2022-11-10,52498
2022-11-09,43711
2022-11-08,41415
2022-11-07,46231
2022-11-06,43192
2022-11-05,51704
2022-11-04,45757
2022-11-03,47097
2022-11-02,38968
2022-11-01,40859
2022-10-31,37311
2022-10-30,33058
2022-10-29,41503
2022-10-28,42505
2022-10-27,43979
2022-10-26,75710
2022-10-25,40245
2022-10-24,63294
2022-10-23,109956
2022-10-22,120076
2022-10-21,77489
2022-10-20,32839
2022-10-19,28089
2022-10-18,20686
2022-10-17,21170
2022-10-16,22943
2022-10-15,29961
2022-10-14,37363
2022-10-13,32358
2022-10-12,40861
2022-10-11,20745
2022-10-10,33228
2022-10-09,15066
2022-10-08,46985
2022-10-07,47609
2022-10-06,33199
2022-10-05,39266
2022-10-04,48121
2022-10-03,69052
2022-10-02,68463
2022-10-01,102446
2022-09-30,412397
2022-09-29,139018
2022-09-28,24407
2022-09-27,19959
2022-09-26,34185
2022-09-25,67692
2022-09-24,74777
2022-09-23,80912
2022-09-22,79007
2022-09-21,79813
2022-09-20,75162
2022-09-19,76602
2022-09-18,67477
2022-09-17,70000
2022-09-16,106165
2022-09-15,83469
2022-09-14,77760
2022-09-13,86385
2022-09-12,99452
2022-09-11,114124
2022-09-10,115855
2022-09-09,105445
2022-09-08,56314
2022-09-07,57896
2022-09-06,64091
2022-09-05,89895
2022-09-04,108194
2022-09-03,106057
2022-09-02,113350
